gene,baseMean,log2FoldChange,pvalue
ENSG00000138650,14.58968428,21.93346471,2.66E-12
ENSG00000223631,12.59584541,21.72781598,4.25E-12
ENSG00000087510,5.684137583,20.62192549,4.91E-11
ENSG00000180537,1038.189525,-4.929437899,3.81E-08
ENSG00000145354,1876.841826,-2.989313511,1.40E-06
ENSG00000134779,5432.140909,-2.956975448,1.40E-06
ENSG00000197721,215.4951054,-3.249332027,1.46E-06
ENSG00000265401,3043.985453,-4.103630357,1.58E-06
ENSG00000242612,276.6945773,-2.938890188,4.58E-06
ENSG00000238243,1541.598491,-3.60539123,6.40E-06
